item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
CLOVES GROUND 450GM (Galaxy) EA,,Herbs & Spices,each,each,1,,each,g,,1300
CLOVES WHOLE 350GM (Galaxy) EA,,Herbs & Spices,each,each,1,,each,g,,2500
COCONUT FLAKES 500GM (Natures Secret) EA (10),,Dry / Pantry,each,each,1,,each,g,,550
CODIGO 1530 BLANCO ROSA 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,10830
Confetti Coriander 50 gram,,Produce,each,each,1,,,g,,800
Continental Parsley Bunch,,Produce,bunch,bunch,1,,,units,,237
Coriander Dozen,,Produce,dozen,dozen,1,,,units,,22
CORIANDER SEED 250GM (Galaxy) EA,,Herbs & Spices,each,each,1,,each,g,,800
CORN KERNELS 425GM (Sandhurst),,Dry / Pantry,each,each,1,,,g,,200
Corn Sweet Box,,Produce,each,each,1,,,units,,236
CORONA BOTTLE - (CASE OF 24),,Beer & Cider,case,bottle,24,24,case,units,,6085
CORONA EXTRA LOCAL BOTTLES - (CASE OF 24),,Beer & Cider,case,bottle,24,24,case,units,,6241
CRANBERRIES DRIED 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,g,,1100
Cuitlacoche- Corn Truffles- Monteblanco  420gr,,Dry / Pantry,each,each,1,,,units,,1065
CUMIN GROUND 450GM (Chefs Choice) EA,,Herbs & Spices,each,each,1,,each,g,,800
CUMIN SEEDS 450GM (Windsor Farm) EA,,Herbs & Spices,each,each,1,,each,g,,1100
Cuvée Colette Rosé 2024 (Case of 6),,Wine — Rosé,case,bottle,6,6,case,ml,,10200
DELI BACON STREAKY,,Meat & Poultry,kg,kg,1,,,kg,,5460
DEL MAGUEY VIDA 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9061
Dill,,Produce,each,each,1,,,units,,200
Domaine Bouchard Corton Grand Cru,,Wine — Red,bottle,bottle,1,,,ml,,30000
DON JULIO 1942 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,24247
DON JULIO ANEJO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,13012
DON JULIO BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,50010
DON JULIO REPOSADO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,10567
Dulce de Leche 1.5L - Gelato Messina,,Frozen,each,each,1,,,l,,2400
Eggplant Box,,Produce,each,each,1,,,units,,2280
Eggplant Kg,,Produce,kg,kg,1,,,kg,,580
Eggs 700g Free Range Dozen,,Dairy & Eggs,each,each,1,,,units,,880
Eggs 700g Packet Dozen,,Dairy & Eggs,each,each,1,,,units,,500
EL JIMADOR REPOSADO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,5304
EL JIMADOR REPOSADO 700ML - (CASE OF 6),,Spirits — Tequila & Mezcal,case,bottle,6,6,case,ml,,31826
EL JOLGORIO ESPADIN (GREEN) 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,16106
EL JOLGORIO MEXICANO (BROWN) 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,20693
